#Type,Description      , Circuits, MaxLoad, Clock, Xmit, Ports, Intensity, Servo, SSR, Input, Ptype, spare, spare
  206,BootLoader-CB16  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  207,BootLoader-mMP3  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  208,BootLoader-DMX   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  209,BootLoader-CMB24 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  210,BootLoader-08S   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  211,BootLoader-DIO32 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  212,BootLoader-RB150 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  213,BootLoader-SD08  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  214,BootLoader-16DV7 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  215,BootLoader-PC-V2 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  216,BootLoader-MP3P  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  217,BootLoader-C32G3 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  218,BootLoader-PCG3  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  220,BootLoader-LC16  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  221,BootLoader-ELD16 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  222,BootLoader-SPup  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  223,BootLoader-IPup  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  224,BootLoader-CCF   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  225,BootLoader-CCB   , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  226,BootLoader-MPG3  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  227,BootLoader-RFV5  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  228,BootLoader-08g3  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  229,BootLoader-uMg3  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  230,BootLoader-08g3  , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  232,BootLoader-PIX02 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  233,BootLoader-PIX04 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  234,BootLoader-PIX08 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
  235,BootLoader-PIX16 , 0       , 0      , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0
